pk_anuncio_id,marca,modelo,precio,combustible,anyo_vehiculo,kilometraje,potencia,num_puertas,num_plazas,tipo_cambio,tipo_vehiculo,cilindrada_motor,color,provincia,etiqueta_eco,origen_anuncio,fecha_publicacion,anyomes_publicacion,fecha_carga,url
104361,TOYOTA,Aygo,6900.0,Gasolina,2017.0,46000,69.0,5,,Manual,,,blanco,Salamanca,,dataset kaggle,2021-01-10,202101,2021-01-15 00:00:00,e6576dee3a2095ade03de89ae02a7e5d
104362,KIA,e-Niro,21750.0,Eléctrico,2019.0,14026,136.0,5,,Automático,,,blanco,Burgos,,dataset kaggle,2020-11-11,202011,2021-01-15 00:00:00,a7e75049e7181bf74e8bda702e40eb65
104363,KIA,ceed,15900.0,Diésel,2018.0,32000,136.0,5,,Manual,,,blanco,Girona,,dataset kaggle,2021-01-11,202101,2021-01-15 00:00:00,cfd920816a231f549823d072ca1ce894
104364,KIA,Stonic,17600.0,Gasolina,2019.0,14579,100.0,5,,Automático,,,gris,Guipúzcoa,,dataset kaggle,2021-01-10,202101,2021-01-15 00:00:00,86a0b92ba6bf3d3c6a37a64b789c71f3
104365,KIA,Sportage,21495.0,Gasolina,2020.0,2100,132.0,5,,Manual,,,blanco,Murcia,,dataset kaggle,2020-12-17,202012,2021-01-15 00:00:00,cade5b149da9da73ed1d5406bc5df7bc
104366,NISSAN,QASHQAI,11650.0,Diésel,2012.0,116522,130.0,5,,Manual,,,blanco,Castellón,,dataset kaggle,2021-01-10,202101,2021-01-15 00:00:00,f3aaaed740df6ee2c9fefc43f7672dec
104367,HYUNDAI,Sonata,3500.0,Diésel,2007.0,271000,140.0,4,,Manual,,,gris,Madrid,,dataset kaggle,2020-12-09,202012,2021-01-15 00:00:00,0b3b494bc0f4e3a9ced03941201198dc
104368,HYUNDAI,TUCSON,16790.0,Gasolina,2018.0,34200,132.0,5,,Manual,,,gris,Madrid,,dataset kaggle,2020-12-30,202012,2021-01-15 00:00:00,bbb96321549fe1bed10130b2f4c41e25
104369,HYUNDAI,i30,15000.0,Gasolina,2018.0,66580,140.0,5,,Manual,,,azul,Baleares,,dataset kaggle,2020-10-28,202010,2021-01-15 00:00:00,d312809f151215c3cc4b31423b32261b
104370,KIA,Niro,16490.0,Híbrido,2017.0,35023,141.0,5,,Automático,,,azul,Madrid,,dataset kaggle,2021-01-13,202101,2021-01-15 00:00:00,2b9baccab5e85e44579839a13171e6e4
104371,NISSAN,QASHQAI,17900.0,Gasolina,2018.0,15000,115.0,5,,Manual,,,negro,Madrid,,dataset kaggle,2021-01-12,202101,2021-01-15 00:00:00,b5e24782f51fbc2cc411212663a821f7
104372,TOYOTA,Corolla,19990.0,Híbrido,2020.0,13000,122.0,5,,Automático,,,azul,Madrid,,dataset kaggle,2021-01-05,202101,2021-01-15 00:00:00,067a9a1618f7b399f3a9b64f093834ea
104373,HYUNDAI,i30,12990.0,Diésel,2016.0,51926,110.0,5,,Automático,,,blanco,Sevilla,,dataset kaggle,2020-12-29,202012,2021-01-15 00:00:00,135ec8d8f35eee998440b3d8bd62f847
